Degree,MSE_Train,MSE_Test,R2_Train,R2_Test
1,0.17422105379447544,0.2562652845452412,-0.9111964829243799,-1.330717238734454
2,0.12462251884012612,0.1754808578890423,-0.3671029678272959,-0.5959877721076863
3,0.12461872311654058,0.1744006533957355,-0.3670613289242539,-0.5861633776783888
4,0.10225216988153955,0.103966062418591,-0.12170132824200341,0.05443496042643359
5,0.1020106728839022,0.10179011805375784,-0.11905211792861725,0.0742250426088229
6,0.09202992944509411,0.08414872474199213,-0.009563848045213152,0.2346724460875731
7,0.09191190555741573,0.0841452628906359,-0.008269131740155755,0.2347039314159438
8,0.08956246660747039,0.08991218247182653,0.017504099222378278,0.18225414717720745
9,0.08948246168871954,0.09534012408975576,0.01838174928821734,0.13288734697950666
10,0.0877072558045284,0.09191932602535709,0.03785567146030533,0.16399929814789016
11,0.08770036640099174,0.09577179537062801,0.03793124788187974,0.12896132283003625
12,0.08713843332460161,0.11202829642022527,0.04409562638749154,-0.018890569419192982
13,0.08713071870319193,0.1310113623702597,0.04418025540897963,-0.1915404042662825
14,0.08703013043742631,0.11998620896527254,0.04528370379003188,-0.09126730193681354
15,0.08696338884454509,0.5728160497712224,0.04601585581644452,-4.209727272247312
