Degree,MSE_Lasso,R2_Lasso
1,0.16606522871007573,-0.8154232352133708
2,0.12072761565916597,-0.31979295305821975
3,0.12072761565916597,-0.31979295305821975
4,0.11495611702130198,-0.2566989940725426
5,0.11495611702130198,-0.2566989940725426
6,0.11186086665517132,-0.22286175145936116
7,0.11186086665517132,-0.22286175145936116
8,0.11226256843034274,-0.2272531508024822
9,0.11226256843034274,-0.2272531508024822
10,0.11292554461038665,-0.2345007990368151
11,0.11292554461038665,-0.2345007990368151
12,0.11297198966052187,-0.23500853580887204
13,0.11297198966052187,-0.23500853580887204
14,0.11298510234599764,-0.2351518835408064
15,0.11298510234599764,-0.2351518835408064
