Degree,Regression,MSE
1,ols,0.14703823278147515
1,ridge,0.1470382327320974
1,lasso,0.14708559269971502
2,ols,0.10706298148416041
2,ridge,0.10706297533761806
2,lasso,0.10703228431554186
3,ols,0.10711966493092255
3,ridge,0.10711965426365662
3,lasso,0.10703228431554186
4,ols,0.08768267952817191
4,ridge,0.08768260554158248
4,lasso,0.09992329610904262
5,ols,0.08793394968339935
5,ridge,0.08793306480663612
5,lasso,0.09992329610904262
6,ols,0.07875874992698498
6,ridge,0.07875846514094927
6,lasso,0.09673314117793792
7,ols,0.07888134310228359
7,ridge,0.07887567812083425
7,lasso,0.09673314117793792
8,ols,0.07517755602253595
8,ridge,0.07530338778895881
8,lasso,0.09665700599720878
9,ols,0.07526085869759838
9,ridge,0.07535249689458492
9,lasso,0.09665700599720878
10,ols,0.07368323219589959
10,ridge,0.07548287357658265
10,lasso,0.09710008631709101
11,ols,0.07374343264295438
11,ridge,0.07550025033726009
11,lasso,0.09710008631709101
12,ols,0.07289205676680033
12,ridge,0.07497634716307638
12,lasso,0.09727027466862172
13,ols,0.07309497589220593
13,ridge,0.07498498602883792
13,lasso,0.09727027466862172
14,ols,0.07306969835440051
14,ridge,0.07488707751446624
14,lasso,0.09728284983412702
15,ols,0.07317700064500311
15,ridge,0.07489895225851774
15,lasso,0.09728284983412702
