Degree,Lambda,MSE_Train,MSE_Test,R2_Train,R2_Test
1,0.01,0.1422690030518396,0.16600917803784168,-0.8891060054142086,-0.8148104898872515
1,0.1,0.14226900305294812,0.16600917609259583,-0.8891060054289279,-0.8148104686218454
1,1.0,0.14226900316354993,0.16600915676603328,-0.8891060068975438,-0.8148102573440785
1,10.0,0.1422690139770906,0.16600897581051677,-0.8891061504841593,-0.8148082791403823
2,0.01,0.10423851157713371,0.12017333291551513,-0.38412158651346884,-0.3137335402629118
2,0.1,0.10423851216772383,0.12017434066664862,-0.38412159435556603,-0.3137445569871067
2,1.0,0.10423857109233235,0.12018445704699868,-0.3841223767806161,-0.3138551491446968
2,10.0,0.10424433162029763,0.12028939679792373,-0.3841988674267873,-0.31500234933589066
3,0.01,0.10423785990712223,0.12018891067674727,-0.3841129333725468,-0.313903836175627
3,0.1,0.10423786049895771,0.12018990083827281,-0.38411294123118056,-0.3139146606104233
3,1.0,0.10423791954500894,0.12019984431799617,-0.3841137252687965,-0.3140233626202833
3,10.0,0.10424368968959213,0.1203033148515919,-0.38419034360835314,-0.3151545013439563
4,0.01,0.08533055805175646,0.10204714897243786,-0.13305404693235823,-0.11557829878569681
4,0.1,0.08533084238128613,0.10204979200701673,-0.13305782237613362,-0.11560719241034811
4,1.0,0.0853576513954994,0.1020988871867319,-0.1334138034307777,-0.11614390036952882
4,10.0,0.0869663012518837,0.10384633278679152,-0.15477411410363007,-0.13524695625462346
5,0.01,0.08533055053525333,0.10205218765752498,-0.1330539471251555,-0.11563338163508763
5,0.1,0.08533083486158212,0.10205491722021591,-0.13305772252642845,-0.11566322118409844
5,1.0,0.085357643436333,0.10210461547426566,-0.133413697745711,-0.11620652194520464
5,10.0,0.08696627390680131,0.10385129621952281,-0.1547737510044429,-0.1353012164460965
6,0.01,0.07640350596993457,0.08387063774324707,-0.01451699854754418,0.08312712002415668
6,0.1,0.07647626346782778,0.08473778664691141,-0.015483102359763246,0.07364745784363835
6,1.0,0.07908915068376379,0.09167425466855393,-0.050178087389609605,-0.0021819335022716935
6,10.0,0.08766053915393511,0.10507097717613056,-0.16399248888533569,-0.1486347551126328
7,0.01,0.07640074970750657,0.08384494981782092,-0.014480399767813346,0.08340794013951314
7,0.1,0.07647394973973563,0.08472548111457928,-0.01545237973192437,0.07378198178637407
7,1.0,0.07908851729759302,0.09168324970114707,-0.05016967702900188,-0.0022802670986417084
7,10.0,0.0876594649815519,0.10509542868218956,-0.16397822558513342,-0.14890205870520457
8,0.01,0.0729134496672314,0.08020561393381875,0.031825396346921164,0.12319311958907753
8,0.1,0.07547226770782098,0.08395752498759063,-0.002151636060332196,0.08217726963434191
8,1.0,0.07882948301109217,0.08990414697164406,-0.046730113837161635,0.01716886417380592
8,10.0,0.08665816081835725,0.10345067853475921,-0.1506824994089404,-0.13092166836726915
9,0.01,0.0729130878547997,0.08020125076907701,0.031830200640357575,0.1232408176575579
9,0.1,0.07547239718860776,0.08395641167416094,-0.00215335535917216,0.0821894403643858
9,1.0,0.07882905579614867,0.08990280706348418,-0.04672444110242613,0.017183512034922743
9,10.0,0.08665768844359047,0.10346445949733715,-0.15067622702360262,-0.13107232169705973
10,0.01,0.07304162872567349,0.08047015662323385,0.030123382388314357,0.12030114184755736
10,0.1,0.07460420769314136,0.08338861326761038,0.009374819819826685,0.08839660623634948
10,1.0,0.07902821067991417,0.08993937781871264,-0.04936890109623038,0.01678372094507974
10,10.0,0.08569281260201991,0.10164186251812232,-0.13786421099980406,-0.11114771176999949
11,0.01,0.07304136884879173,0.08047128009784674,0.03012683313983089,0.1202888600355716
11,0.1,0.07460420713323587,0.0833886159695579,0.009374827254480689,0.08839657669868906
11,1.0,0.07902814316659423,0.08993708132896364,-0.04936800462675772,0.016808826145500944
11,10.0,0.0856927399106633,0.1016460696013969,-0.1378632457742428,-0.11119370355761493
12,0.01,0.07247763746012673,0.07917410290794298,0.03761228906433389,0.1344695866634883
12,0.1,0.07469284557103173,0.08376293428579924,0.008197849827502712,0.0843045330243517
12,1.0,0.07872041855870769,0.08977829142313869,-0.04528191143497229,0.01854471563176563
12,10.0,0.08532015961598914,0.10062779168634738,-0.13291597224965446,-0.100061900703732
13,0.01,0.0724758568416198,0.07916671137498782,0.0376359328450776,0.1345503908196315
13,0.1,0.07469257829790282,0.08376262944177325,0.008201398789413394,0.0843078655758569
13,1.0,0.07872037633706679,0.08977647638541782,-0.04528135079875728,0.01856455760396436
13,10.0,0.08532015893611469,0.10062803161733397,-0.13291596322200339,-0.10006452362661178
14,0.01,0.07225440621897865,0.07832489516778005,0.04057644477782585,0.14375311624394216
14,0.1,0.07473694953440647,0.08385580450738868,0.007612219364882211,0.08328927679375797
14,1.0,0.07835878176015816,0.08962002309291578,-0.040479950127422004,0.02027490325934378
14,10.0,0.08530133617343744,0.10022158823537425,-0.13266602688134377,-0.09562128909076217
15,0.01,0.07225319163239056,0.07830984825353539,0.040592572555264494,0.1439176089432882
15,0.1,0.07473584535340258,0.08385367997638753,0.007626881131822083,0.08331250214305819
15,1.0,0.07835858774111745,0.08961763541982082,-0.040477373863252675,0.020301005275089823
15,10.0,0.08530133981855963,0.10022054193693546,-0.13266607528276686,-0.09560985096785402
