arch,optimizer,eta,mse
2×50,SGD,0.0001,0.0025919536603559944
2×50,SGD,0.0003,0.0019029155893154335
2×50,SGD,0.001,0.0008042609138859061
2×50,SGD,0.003,0.0005537285243432702
2×50,SGD,0.01,0.0005538103793001684
2×50,RMSprop,0.0001,0.0009088514300165131
2×50,RMSprop,0.0003,0.0009966571404642125
2×50,RMSprop,0.001,0.0011182446869126474
2×50,RMSprop,0.003,0.002089425037002294
2×50,RMSprop,0.01,0.0029313510083659113
2×50,ADAM,0.0001,0.0013837682295743253
2×50,ADAM,0.0003,0.0010778226749772475
2×50,ADAM,0.001,0.001423975123594768
2×50,ADAM,0.003,0.0025149285631757847
2×50,ADAM,0.01,0.004262545689929884
2×100,SGD,0.0001,0.002246098917429312
2×100,SGD,0.0003,0.0017110233946991404
2×100,SGD,0.001,0.0009460460314155602
2×100,SGD,0.003,0.0008323670050365611
2×100,SGD,0.01,0.0009983899825603483
2×100,RMSprop,0.0001,0.0013538844989546244
2×100,RMSprop,0.0003,0.0016991712214336257
2×100,RMSprop,0.001,0.0016682788615960875
2×100,RMSprop,0.003,0.005174657226326033
2×100,RMSprop,0.01,0.026250027475937233
2×100,ADAM,0.0001,0.001492176987829624
2×100,ADAM,0.0003,0.0015062618050982158
2×100,ADAM,0.001,0.0014217043465739225
2×100,ADAM,0.003,0.0027058562043743607
2×100,ADAM,0.01,0.0026982634416047296
