act,depth,width,mse_train,mse_test,overfit
sigmoid,1,50,0.01509615185114024,0.003112767615084353,-0.011983384236055886
sigmoid,1,100,0.022647075008330943,0.008820748433196942,-0.013826326575134001
sigmoid,1,200,0.016105592724845373,0.0038993008703579533,-0.01220629185448742
sigmoid,2,50,0.01452255678704034,0.003995575089318439,-0.0105269816977219
sigmoid,2,100,0.015463627376840719,0.005000434733114904,-0.010463192643725815
sigmoid,2,200,0.013896023001398193,0.00297486639199142,-0.010921156609406773
sigmoid,3,50,0.01389479014175041,0.0027723937316055302,-0.01112239641014488
sigmoid,3,100,0.013245019994101263,0.0032213380852367563,-0.010023681908864508
sigmoid,3,200,0.01560613991354396,0.00433826190324127,-0.011267878010302691
relu,1,50,0.013715604647224744,0.0029629717260695626,-0.010752632921155181
relu,1,100,0.013680365720988692,0.0026537823510296775,-0.011026583369959014
relu,1,200,0.015978473822119983,0.004973212470267669,-0.011005261351852313
relu,2,50,0.013553875810462102,0.002731720488993604,-0.010822155321468498
relu,2,100,0.01138424001975691,0.0012783025935495774,-0.010105937426207332
relu,2,200,0.013302903780496278,0.003330056474470855,-0.009972847306025424
relu,3,50,0.01209813719612753,0.0013543689086894805,-0.010743768287438048
relu,3,100,0.01325927215999003,0.003456308734972886,-0.009802963425017144
relu,3,200,0.012981477806095829,0.0037822497356892167,-0.009199228070406611
leaky_relu,1,50,0.01379700957308827,0.002995491174073382,-0.010801518399014888
leaky_relu,1,100,0.01371506882994674,0.002750594843193385,-0.010964473986753355
leaky_relu,1,200,0.016937071523850378,0.006188703823543846,-0.010748367700306532
leaky_relu,2,50,0.012053790948745693,0.0019140025219319507,-0.010139788426813743
leaky_relu,2,100,0.013090270866715355,0.001513294000720414,-0.011576976865994942
leaky_relu,2,200,0.011601637472360595,0.002634818776225672,-0.008966818696134922
leaky_relu,3,50,0.01231178132689176,0.001168207303180706,-0.011143574023711054
leaky_relu,3,100,0.013546787066175714,0.003849604249117758,-0.009697182817057955
leaky_relu,3,200,0.014168763664982497,0.005378277145789071,-0.008790486519193426
